"EnsemblID"	"symbol"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000173110.6"	"HSPA6"	1306.72388138191	1.83192922287666	0.238948052029665	7.66664221497494	1.76557383319078e-14	3.10387879874938e-10
"ENSG00000123689.5"	"G0S2"	130.15679282449	1.5064021507817	0.22136646643556	6.80501511831384	1.01038625696098e-11	8.88129519868701e-08
"ENSG00000204389.7"	"HSPA1A"	10801.7172160671	1.49256859772066	0.226555975626693	6.58807870148628	4.45554468151476e-11	2.61094918336765e-07
"ENSG00000106211.8"	"HSPB1"	9679.15527028281	1.29648967682692	0.206142917644137	6.28927586571293	3.18950242890952e-10	1.40178631750574e-06
"ENSG00000137731.8"	"FXYD2"	8.74680696442195	0.979848750153503	0.161285364398399	6.07524900854073	1.23795469066199e-09	3.62720724363963e-06
"ENSG00000152049.5"	"KCNE4"	280.985173532814	1.30939978643818	0.215355305795752	6.08018354411963	1.20045052769577e-09	3.62720724363963e-06
"ENSG00000111181.8"	"SLC6A12"	1056.92952607418	0.745493909895146	0.125519132143694	5.93928508876005	2.86267675621125e-09	6.50469137172705e-06
"ENSG00000204388.5"	"HSPA1B"	8858.49155450078	1.2855573570429	0.216649966467154	5.93379901232431	2.96004157985304e-09	6.50469137172705e-06
"ENSG00000149257.9"	"SERPINH1"	1139.77392141714	1.29163397593724	0.219355058115431	5.88832547119812	3.90128240435124e-09	7.62050496316608e-06
"ENSG00000132002.3"	"DNAJB1"	7273.98316478086	1.21136660776482	0.207774498435594	5.83019868600631	5.53614190214426e-09	9.73253746396961e-06
"ENSG00000042062.7"	"FAM65C"	202.22866426066	1.01047895139494	0.173971251671049	5.80830994597653	6.31066106449608e-09	1.00855837739856e-05
"ENSG00000168209.4"	"DDIT4"	1825.43854275545	1.00869749974363	0.178518850352348	5.65036968226457	1.60103144071381e-08	2.34551106064573e-05
"ENSG00000072682.13"	"P4HA2"	473.156328930812	0.700144235548697	0.124402571150362	5.62805277314123	1.82255334549832e-08	2.4646529087585e-05
"ENSG00000180198.11"	"RCC1"	212.104558585182	0.739339474342931	0.133217303938858	5.54987567292505	2.85872823158448e-08	3.58974587937537e-05
"ENSG00000188425.2"	"NANOS2"	7.64353265554457	1.28619772425913	0.237280397905067	5.42058145390384	5.94054971027351e-08	6.96232426044056e-05
"ENSG00000116096.5"	"SPR"	448.628938042989	0.813681365294899	0.153136517167148	5.31343784191442	1.07576141291554e-07	0.000108736779096043
"ENSG00000173991.5"	"TCAP"	319.025932514136	0.879489517899712	0.165716937534577	5.3071794047377	1.11334586105164e-07	0.000108736779096043
"ENSG00000187796.9"	"CARD9"	252.473453453463	0.69353870544077	0.13056213753405	5.31194355836813	1.08462199492707e-07	0.000108736779096043
"ENSG00000086570.8"	"FAT2"	709.721960335991	-1.23021277733396	0.235039376675922	-5.23407096603309	1.65816740717473e-07	0.000153424121148062
"ENSG00000008086.6"	"CDKL5"	98.17711731683	-1.14754875709924	0.22168917828858	-5.1763859921274	2.26225183879917e-07	0.000189382796790902
